comment;score negative;score neutral;score positive;score compound
people hurt us n they act like we were the ones who hurt them...#CRISIS is hit back to all of'em;0.259;0.646;0.095;-0.6486
Josh has beautiful wording in this song, yes Olivia went through a lot too but nobody realizes that Olivia put Josh in a lot of pain. He got send death threats, and was getting shamed for things that may not be true. He didn’t get to share his side of the story. I mean even though people were commenting that he is rude for writing about this 11 months later, but did anyone think about the fact that he was getting bullied, shamed for everything. It was his time to share his side and to me he was in a lot of pain. I love him for that, I believe him more than Olivia. Josh, be proud for who you are, and what you did!;0.239;0.645;0.116;-0.9772
“Messing with my Life as a Career move” literally, she has the right to sing on her heartbreak but doesn’t have the right ruining someone’s life in the making.;0.152;0.848;0.0;-0.5927
“Messing with My Life as a Career Move” felt that damn. This song is going to bang;0.144;0.856;0.0;-0.4019
i relate so much about joshua's songs. The person who hurt me is not an ex-boy or girlfriend but a person i use to think was a bestfriend.;0.075;0.925;0.0;-0.296
“my momma called cos she heard i got death threats” that line is sooo disheartening— people forget that celebrities are people too, people that have families, people that hurt, people that smile;0.232;0.705;0.063;-0.7717
“My Momma called cause she heard I got death threats” that line made me so sad he went through so much I love you Joshua;0.23;0.64;0.13;-0.5311
As much as I know everyone uses breakups and situations of the like to help their career and maybe even grow as a person, it must feel really.....bad to find out that someone's life is being threatened just because of an album you put out. I think it would be beneficial for everyone to realize that the people writing these songs might not be as hurt by the situation as it might seem, so death threats are so unnecessary at all times. Especially over just an average breakup.;0.108;0.787;0.106;-0.2945
I feel this guy. Break up is always a hard thing;0.123;0.877;0.0;-0.1027
People were so cruel to him for what! She was writing about her strong  feelings at the time but people had no right to attack without knowing both sides! Both amazing songwriters;0.234;0.602;0.164;-0.4797
I literally cried after watching and hearing this....;0.271;0.729;0.0;-0.3818
I feel bad supporting Olivia Rodrigo's singing career now. She can write whatever song that she wants, but people were sending death threats to Joshua Bassett. She has never talked to her fans, nor has she tried to talk to him. She just let it all happen.;0.201;0.764;0.035;-0.8847
"But the parts where he said ""don't you dare act like I didn't love you"" and ""don't you  ever wonder if I'm okay after all you put me through"" really brought tears to my eyes, so relatable.";0.159;0.719;0.122;-0.4058
I just want to say Joshua, I'm sorry about everything happening to you right now. It must be very stressful with all the drama happening.;0.174;0.78;0.046;-0.5563
If one million people are defending him, i'm one of them, if a thousand people are defending him, i'm one of them, if ten people are defending him, i'm one of them, if just one person is defending him, that's me, if no one is defending him, i'm dead;0.121;0.879;0.0;-0.7579
"Also, for all of you guys saying ""he's the one who is adding to the drama"" or whatever, imagine this. Imagine someone saying all this crap about you and then not telling YOUR TRUTH. Not speaking up for yourself. Thats all he's doing, and if you don't understand that, you are just pathetic. That's the truth that everyone needs to hear.";0.134;0.832;0.034;-0.7848
Why do people write dead threats? He’s just a Human like all of us He does not deserve this. Dont write anything you cant say in person;0.211;0.714;0.074;-0.6808
Waw, this hits differently....it amazes me how some can give hate and the out come after pain could be so touching yet sad at the same time. This whole some could be taken in many ways. Its another side to a story and it shows how he also hurt after all of it. This was ....i got no words....Keep strong Joshua ;0.246;0.712;0.042;-0.9378
"I felt this in the depths of my core.  This man has been hurt and experienced true heartbreak. It’s disheartening that he has received death threats from strangers on top of all that he has gone through.
Joshua has expressed himself in a way that those feeling have been put into his music. A goal of an artist that not many achieve. One word = MASTERPIECE";0.196;0.674;0.129;-0.7695
I listen to this after listening to Taylor Swift's ALL TOO WELL (Sad Girl Autumn Version) imagining it would be JG's response.  JG deserves to tell his side of the story too.;0.086;0.835;0.079;-0.0688
"""and its cool if you want me to play the bad guy but dont you dare act like i didnt love you"" AWW IM CRYING";0.319;0.476;0.205;-0.8075
“I can’t help but wonder why you won’t make it end”  Well, I wondered the same thing. She had the power and the platform to tell her fans to stop sending death threats to him and Sabrina. But she only talked about it in an interview after the damage had been done and after the songs achieved popularity.;0.213;0.673;0.114;-0.8591
“Messing with my life as a career” “my momma called bc she heard I got death threats” damn you did and do not deserve this heat. Your mental health and personal life are extremely important and coming out with this song is so important in holding your truth and your feelings and vocalizing them in a song that tells a story about you and all of the above.;0.086;0.825;0.089;-0.2121
Meu Deus ele arrasa muito na composição. Que foda;0.254;0.574;0.172;-0.25
i’m glad he finally tells his side of the story because he really did go through hell this year;0.187;0.691;0.122;-0.3818
i love this! but also i feel like people shouldn't blame olivia for the hate he got. almost every artist shares personal situations through their art, but fans and the media make the choice to turn it into drama. especially going as far as to send joshua and sabrina death threats is so stupid.;0.255;0.603;0.142;-0.9122
It's so sad the one person in the whole can make a million people hate on him. Ya they both hurt eachother,  but he is a normal human being(besides being famous) he has feeling just as well as anybody else.;0.146;0.758;0.095;-0.3284
"I am in tears... THIS hit HARD . Holy grail! Jeez no I just can't...no
I mean . My heart, is literally, knocked over";0.212;0.651;0.137;-0.0836
He doesn't deserve all what happened  to him , people is getting crazy;0.167;0.833;0.0;-0.34
imagine not being in love with this man. he’s an angel and no one can convince me otherwise.;0.247;0.665;0.089;-0.5526
"""don't go thinking that I didn't hurt too"" omg i'm crying";0.208;0.605;0.187;-0.0834
I am literally crying.. I mean why people randomly judged him by just knowing one side of story. More power to him.️;0.129;0.871;0.0;-0.4767
Damn he's got a nice voice. The lyrics hurt. He should never have gotten those death threats. What is wrong with people?;0.458;0.461;0.081;-0.9201
Awww. I cried so hard.. this is such a good song!!!;0.329;0.493;0.179;-0.349
I literally can't count how many times I come back to watch this video. I'm obsessed;0.102;0.898;0.0;-0.1779
I support both of their careers but I feel so sorry for what people put him through just because they were Olivia's fans;0.085;0.841;0.074;-0.0675
1:03 was the most savage moment ever in music history;0.268;0.732;0.0;-0.5095
I feel so bad for him. He gets so much hate. Because of one song. What the heck why? Why just why? It’s horrible what some ppl do ;0.33;0.67;0.0;-0.9236
I will never forgive y’all for sending this man death threats, and wishing him harm while he was in the hospital. He is an angel, and no one knows what actually happened. Be kind.;0.306;0.58;0.114;-0.8366
"""messing with my life as a career move"" 
damn that hit hard";0.291;0.709;0.0;-0.4767
Y’all we need to blow this up, get it on radios, get him on talk shows, etc. I’m not a musician so I’m not gonna pick this trilogy apart but damn when a song can physically and emotionally impact me?! Whaaaaaaaaaa Joshua you did the damn thing;0.141;0.859;0.0;-0.8122
"""you're messing up my life as a career strategy""


lied? didn't lie";0.191;0.809;0.0;-0.3818
"This song is so good. U sing perfectly! 

He and Sabrina got so much hate, the part when it says about the death threats, omg. We dont know what happened exactly, but it doesn't justify what he has being through ( so as Sabrina ).";0.137;0.768;0.095;-0.287
"This is the Lyric. 

Crisis

Lagu Joshua Bassett";0.369;0.631;0.0;-0.6249
"""It's cool if you want me to be the bad guy"" THIS IS WHAT I'VE BEEN SAYING!!! OLIVIA IS SUCH A SNOB!!!! SHE HAS TAKEN NO RESPONSIBILITY FOR THE BREAKUP!!!";0.284;0.626;0.09;-0.8669
I can't get over this song. It's damn f amazinggg!!! ️;0.263;0.737;0.0;-0.5538
I can't get over this song. It's damn f amazinggg!!! ️;0.263;0.737;0.0;-0.5538
This was realness and honesty in this song is something I'd never thought I'd hear. From talking about the record label to the death threats to not ending the relationship- He went all out and did not hold back.;0.146;0.784;0.07;-0.5423
Been waiting on these songs for awhile now and wasn’t disappointed.;0.237;0.763;0.0;-0.4767
As am artist. You use your art to express yourself.  If it's true that he is donating the proceeds from this to a charity focusing on mental health.  He is doing it because he doesn't want someone to go through what he is, but know it will happen and wants to make it better for others.  Everyone saying this is also a career move, how is this a career move.  He isn't getting any money off of it.  He definitely doesn't want the attention.  Sitting back and doing nothing definitely didn't help him. He has said through out this song that he wants to be done with all of this drama.  Olivia is really the only one at this point who is actually profiting from this, getting attention and the money.  He is literally pleading with her in the song to stop making it worse by doing nothing, just fanning the flames of hate.  Plus that little SNL skit that came out when she performed.  That was real class there.  So childish.  He used his art to express how he feels and told his side because otherwise she was going to control the narrative and did nothing to stop this.;0.093;0.821;0.085;-0.4218
You can see the pain in his eyes…;0.32;0.68;0.0;-0.5106
“Messing with my life is a career move” that lyric hit hard;0.113;0.887;0.0;-0.1027
God this makes me cry.  such crisis you've been through and yeah what the hell.;0.452;0.383;0.165;-0.8591
Joshua is such a good guy, just because you hear someone's perspective doesn't mean that you have to go blame the other one. And just because your a big fan of Joshua or Olivia doesn't mean you can be mean and sending death threats to someone it's just not fair. I'm a big fan of Joshua but you dont see me sending death threats to Olivia so why would others do that to Joshua.;0.191;0.749;0.06;-0.9068
The fact he mentioned he got death threats from people makes me sick, just because someone breaks up with someone doesn’t mean you send him death threats, anyways I love all 3 songs, love how you finally expressed your feelings;0.287;0.568;0.145;-0.8074
I can’t believe olivia made him do this. she does the most mistakes. But  never takes the consequences for them;0.091;0.909;0.0;-0.2255
Don't care about the drama, but this song is a bop;0.154;0.846;0.0;-0.2057
I never heard of you until I asked Alexa who Olivia’s Boyfriend was. Then a watched a video explaining that it wasn’t your fault for everything that happened - I am soo sorry for everything you have been through! We will always be there for you! ;0.094;0.906;0.0;-0.555
Judgin from his music and date release, he is way mature than oliv. This dude been dealin' shit even death threats. Yet oli does nothin to calm her fans. He's more on inner peace than attention .;0.205;0.618;0.177;-0.3477
people really out here sending him death threats when it’s not even their lives!!! It’s just crazy how some people get so invested in others lives, like they forgot they have their own one!! it’s just sad.. people just love negativity and it’s so upsetting.;0.321;0.575;0.104;-0.932
This song makes me want to cry ;0.33;0.532;0.138;-0.4215
Even though I would die for olivia, I still think that joshua dosen’t deserve any hate;0.352;0.648;0.0;-0.8225
"""Have the shit you say is only half true"" ";0.269;0.522;0.209;-0.2023
I love this song. I love Olivia Rodrigo but what she did to him is so sad.;0.222;0.567;0.211;-0.3153
I am buying this RIGHT NOW! #joshuabassett #crisis;0.386;0.614;0.0;-0.6588
It's fine for Olivia to write her side of the story, but unlike Joshua Bassett, she never stopped her fans from spreading the hate;0.171;0.713;0.115;-0.5648
“Messing with my life as a career move… I can’t help but wonder why you won’t make it end”…. Wow. It’s honestly disgusting that Olivia did not speak up and tell her fans to stop sending Joshua death threats. Regardless of whatever happened in their relationship (because none of us really know), she was profiting off those songs and the narrative that Josh was in the wrong, which led to him getting death threats from her fans…. And she never once spoke up to address that directly and tell them to stop. How can someone be that cruel;0.275;0.62;0.105;-0.9781
"""keep fanning the fire for the heaadlines."" genius";0.255;0.745;0.0;-0.34
that is why I dont judge him and secondly I hate those peeps who sent death threats both Sabrina and Joshua, how can y’all do that without feeling any conscience;0.312;0.688;0.0;-0.895
Wow... This song did make me feel bad for all this shit, he really does deserve better;0.28;0.469;0.251;-0.199
He didn't deserve all the hate;0.425;0.575;0.0;-0.5719
“Messing with my life as a career move” damn;0.252;0.748;0.0;-0.4019
"""I can't help but wonder why you won't make it end. Guess you would never dare to waste a crisis"" 

My favorite part. With all the drama and death threats that happened, I also wondered why someone would just let it continue and act like nothing serious is happening. Well, I guess whatever floats someone's career.";0.211;0.606;0.183;-0.6246
I just glad that he feels that he can actually speak about it now without being scared of what Olivias toxic fans (not all of them) would say about him. He even thought they were gonna kill him if they ever saw him because he saw some of her fans commenting that on TikTok:/;0.077;0.835;0.088;-0.0757
"•I personally feel like Olivia was in the wrong in the Relationship bc if u pay attention to her songs she is aggressive, I'm not say Joshua was never the problem like he said ""half the shit you saying is only half true"" there are 2 sides to to story but I belive that Olivia was more of a problem bc she talks about being jealous and insecure and people tend to be mean or take out their insecurities on others. And not to mention that she made a whole album dissing him?!?! That's so immature•";0.196;0.736;0.068;-0.9394
“Messing with my life is a career move” that hit hard bro;0.113;0.887;0.0;-0.1027
Omg I feel so bad WHY ARE THERE SO MUCH HATERS WHO SAY THIS SHIT this is so sad stay safe<3;0.522;0.478;0.0;-0.9664
Gets you through some shit!;0.493;0.507;0.0;-0.5983
I don't know but I feel his pain too as well as I feel Olivia's pain with her songs.;0.323;0.581;0.096;-0.8047
I cried. Still do. I love Olivia but you don't milk half-truths for fame. You stop your fans from spreading hate, sending death messages even to your worst enemy , to someone you used to love. Yeah, these are kids but cruel kids grow into cruel adults until they change. Joshua is a lovely human being. I believe and support him. Don't let the s**t dim the light in your eyes. God bless you. :);0.28;0.453;0.267;-0.5647
Wait but I would still kill for a  Olivia and Joshua duet both saying their feelings;0.304;0.696;0.0;-0.8201
I hope that everyone who listened to sour will listen to this. It's only fair. She came out with a bang and she's talented too. but it's a break up... nobody should be receiving death threats for that. and to his credit, she never put an end to it. it's basically how JT exposed britney with cry me a river. his solo career took off with that song.;0.17;0.684;0.146;-0.6188
I'm honestly with joshua on this one. love them both but olivia keeps on fanning the flames instead of stopping. death threats could lead to death and i don't think anyine would want anyone to go through that. yes they might have broken up and then he got together with sabrina. she is getting bigger by blaming him. and ruining his career.;0.31;0.581;0.109;-0.9668
You can write about experiences and all the trials that you went through but there needs to be a limit. Even though it wouldn't do much, she should have told her fans to stop.;0.078;0.922;0.0;-0.4215
I thought I was the bad guy, then i realised that I am the victim;0.301;0.699;0.0;-0.6808
"""Half the shit you're saying's only half true
You're messin' with my life as a career move""

Now that's messed up, Olivia.";0.216;0.683;0.101;-0.4939
Wait what if they did a duet I would litterally die;0.281;0.719;0.0;-0.5994
I dont know why I am still waiting for We both know to drop ;0.139;0.861;0.0;-0.2732
Guys , both his and olivia’s songs are equally heartfelt , what people don’t understand is that a relationship is much more complex and complicated than just a few lines in songs , so we can’t take sides here , both of them hurt , took wrong and right decisions for one another , this hate cycle needs to stop , that are just songwriters who are expressing their feelings , I doubt they want to call out one another , the part where people said that Olivia wasn’t defending Josh , I think with Lane constraints she was only able to speak very little about that , I mean everyone knows how much production companies have power over artists , but I’m not trying to defend anyone here or pick sides , they both are so so talented . My heart goes out to Josh who had to suffer so much , there is an Indian phrase that you can never clap with one hand , so whatever happened , was not the doing of one person , and again my heart goes out to Josh , no one should get death threats only because they messed up in a relationship , I mean we do to , but we aren’t Celebes , let’s treat the both of them as normal human beings fit once and stop this hate cycle .;0.133;0.751;0.115;-0.2883
This song makes me so sad. It reminds me of the 2000's.;0.266;0.734;0.0;-0.6113
When I first heard this song I thought the beginning said my neighbor told me not to waste a crisis now I know it says the label;0.13;0.795;0.074;-0.4153
I side with Joshua 100%. People assume that he was the one to blame for Olivia’s broken heart. If she was so broken hearted why didn’t see speak up?! She made a song(s) that in turn hurt people and she has the nerve to feel as if she’s a victim. You don’t let your fans send death threats to people for one and for two give the whole story and stop hiding. Joshua you deserve the world and more and I’m sorry this is happening to you. Protect you health and shine like only you can️️️!!!;0.238;0.685;0.077;-0.9554
"Some said people hate Joshua after DL song.
But I even love Joshua more after I listen DL song , I didn’t hate him, I became his fan. Poor Joshua, I am so sorry for him.";0.261;0.572;0.167;-0.6009
Okay putting the lyrics aside, can we talk how good his voice is?? I have never heard his songs before but damn this guy can sing!!;0.145;0.744;0.11;-0.4756
Idk why but this song just makes me so sad,,, im crying;0.555;0.445;0.0;-0.9049
The Label also asked Sara Bareilles to write another song.  She wrote the song about NOT writing another love song.;0.151;0.849;0.0;-0.5216
His label was right about him putting out good music, but should never have tried forcing him to respond to drama. His facial expressions show his pain and frustration about this whole situation. The makeup artist represents his label trying to get him ready, but he is not thinking about responding but his feelings about the complete situation. He looks so done with this entire situation and hates that he gets all the hate. He doesn't know what to say because everyone is making up his side for him. His voice is truly beautiful, and he should get recognition for his talent and not the drama surrounding him.;0.13;0.736;0.134;-0.1027
"DON'T SPREAD HATE if you can't Love means. 

Olivia should have asked fans not to spread hate considering people were sending death threats to Joshua. Writing, making songs is not bad, but the people who take it too far and indulge in cyber bullying should be held accountable.";0.201;0.694;0.105;-0.7711
Joshua has been put through so much through this whole process and the fact that he got death threats and that Olivia is saying crap about him that isn’t true I feel so bad for him and he definitely has my support. His songs give you a whole other outlook on what is happening;0.2;0.681;0.119;-0.7644
i understand thinking olivias songs are about him, but going as far as to HATE him for it is just wrong. when her songs first came out i thought they were about him too but i would NEVER send him death threats. i knew from the start that her songs are only half the story. i love her music but people need to realize that those songs are from her point of view. i know it’s hasn’t even been a whole year but i’m glad i’ve matured enough to realize that joshua isn’t a bad guy. he’s was just as much a part of that relationship as she was and he deserves to express his feelings on it.;0.13;0.772;0.098;-0.6937
love people supporting him in the comments but we’ve got to remember that he doesn’t want anyone hating on olivia either;0.162;0.619;0.219;-0.1154
Maybe his label was right. I mean I would rather have it be he lacks inspiration and have a happy life but at least he’s using what he’s been through as a positive experience. Everyone just jumped on him and made him out to be the villain in all this when she’s the one who write the song and from what I could see didn’t stop her fans from sending him hate. He put out these songs and made it very clear not to hate on her. He made it clear that anyone who hates on his behalf is not a fan. I didn’t see her doing that. It’s a shame because you can have fame but if your souls ugly it means nothing.;0.17;0.678;0.151;-0.6257
Don't u dare forget about the way you betrayed me + don't u dare act like I never loved you.;0.262;0.586;0.153;-0.6098
Yoo i feel bad for you, olivia, and sabrina. You are young, it will pass, just give it time! Don't give up!;0.163;0.837;0.0;-0.6229
"""Messing with my life as a career move"" oooh, that's gotta hurt...";0.236;0.764;0.0;-0.5267
olivia gave me incredible heartbreak anthems this year, but this is honestly breaking me, our josh doesn’t deserve any of this and i feel so bad. i hope he’s ok.;0.203;0.605;0.192;-0.125
The whole drama between Olivia, Joshua, Sabrina isn't even any of their fault it's our fault (not all) Toxic fans keep sending death threats and rumors.;0.355;0.645;0.0;-0.9022
Tbh now that both of them have told their stories about both of their sides this kind of needs to end lol i won’t pick a side because both of them got hurt in this situation equally Joshua got hurt by Olivia’s album as he was getting death threats and Olivia got hurt cause josh cheated on her I will support both of them no matter what because in a situation like this two people have two different stories and feelings;0.212;0.708;0.08;-0.9228
Wow I’m on his side….all stories have 2 sides….what on earth are people sending death threats to someone over a break up? Get a life people.;0.2;0.687;0.113;-0.4404
"olivia: driver's license
joshua: crisis 
sabrina: all because I liked a boy
all their perspectives, and the thing is that teenage relationships are mostly with temporary feelings, so people must stop harassing others. *peace!";0.227;0.635;0.138;-0.6194
Man i don't even feel like listening to Olivia's songs after this song...;0.15;0.85;0.0;-0.2755
I thought there was no way people would see what was really happening, but I think this song might be the key;0.071;0.929;0.0;-0.1531
I think that they both hurt each other but Olivia took advantage of it and made it art but it backfired both positive and negative. Olivia exaggerated what happened threw her song and added self enterpretations that made it worse.;0.239;0.625;0.136;-0.6808
Judgin from his music and date release, he is way mature than oliv. This dude been dealin' shit even death threats. Yet oli does nothin to calm her fans. He's more on inner peace than attention .;0.205;0.618;0.177;-0.3477
Crazy how y’all were ready to put the blame on him and now wouldn’t even hold Olivia accountable for not putting an end to her fan’s obsessive, evil behavior. She ‘hated’ Josh so much that it’s almost like she thinks he deserved them;0.21;0.701;0.089;-0.7501
"I just feel unfair for Josh and Sabrina. Olivia rose up in fame even had her grammies by putting this two people in tight situation. I just wished they didn't have to fall just for her to rise. It's so unfair.

(Olivia singing Good For You is kinda hypocrisy for me.)";0.118;0.785;0.097;-0.3163
risk of relationship, sometimes it's over. don't just see one side you have to see the other side.;0.11;0.89;0.0;-0.2732
It's so akward how people started to spread hate on him 'cause they had the thought that the girl album was made for her relationship with him;0.125;0.875;0.0;-0.5719
i’m not exactly sure what happened to them or why they’re doing this and I don’t think it’s gonna happen but wouldnt be nice if they just made up and got back together or at least bury the hatchet?;0.108;0.892;0.0;-0.5391
Judgin from his music and date release, he is way mature than oliv. This dude been dealin' shit even death threats. Yet oli does nothin to calm her fans. He's more on inner peace than attention .;0.205;0.618;0.177;-0.3477
Judgin from his music and date release, he is way mature than oliv. This dude been dealin' shit even death threats. Yet oli does nothin to calm her fans. He's more on inner peace than attention .;0.205;0.618;0.177;-0.3477
Like I always say that music is when one sings with his own personal feelings and heart on how he/she feels and a relationship begins with two ppl and ends with two ppl, idk some ppl do love a celeb , loves their music is fine but what is all this? U're hating a person, criticising him, making his life hell, giving him death threats is this what music all about, if a person is hurt it's ok to sympathize them but what's all this shit? Some ppl r seriously psychopaths we dk what the other person is going through, atleast u can't love but don't hate and make other life miserable and the person whom u're doing too doesn't want this I feel, nobody wants to be a murderer atleast;0.293;0.596;0.112;-0.9909
Honestly, Olivia made everything worse by saying most of the lies and Joshua over here is trying to fix everything, and she's just acting selfish.;0.278;0.631;0.09;-0.7402
But she didn’t name names so I don’t see why she’s getting hate in the headlines? People speculated like they always do and raised problems via social media, but her songs are ours, like Taylor Swift says - they are our stories. ️;0.156;0.687;0.157;-0.2263
its so clear that the pain she caused him (ruined reputation, death threats, harassment, public humiliation) is so much worse than whatever he did to her (moved on from her in private), yet she plays the victim and paints him as the bad guy.;0.436;0.491;0.073;-0.9761
Maybe tiktok didn't ready to find this song ;0.232;0.768;0.0;-0.2755
"""and it's cool if you want me to play bad guy""
WYM JOSHUA NO IT'S NOT COOL IT'S NOT COOL AT ALL";0.353;0.462;0.185;-0.7537
I think it’s unfair that rumors have spread of Olivia cheating on Joshua but is there is no comparison to how much heat he got versus what she’s receiving right now which is almost nothing Joshua didn’t even cheat on Olivia he just got with Sabrina after that relationship it’s the double standard for me;0.179;0.821;0.0;-0.8793
Crisis. I feel my life is in a constant crisis.;0.506;0.494;0.0;-0.8481
This shit is so fucking beatiful!;0.438;0.562;0.0;-0.5983
omg he is so underated and i hate how he's concidered the bad guy i miss them they were a cute couple why did she have to cheat.;0.312;0.608;0.079;-0.8316
calling olivia out as he should. the fact people see her as a victim when she’s the one who exposed a private relationship bc of a clear agenda and hatred for sabrina, and saw them as villains for simply having a relationship like any other person is so weird bc him and olivia were long broken up at the time. the person that let other ppl get bullied and harrased until one nearly died(hell shes crazy she probably wanted it to happen) is more loved than the people who got bullied and harassed for no reason? keep in mind she didn’t even go online and tell her fans to stop ? doesn’t matter if it wouldn’t have helped it would have shown she cared about peoples mental health and well-being, especially someone she claimed to love ;0.211;0.688;0.101;-0.9572
Don’t understand how people could dislike this;0.302;0.698;0.0;-0.3818
i swear to god if this isn't going viral! he didn't deserve all the hate he got and can finally tell his story.;0.19;0.733;0.077;-0.4753
I love the music of all 3 of them. Every artist has the right to write about their feelings, but fans don't get to send hate and death threats. All respect to him for donating his money to the mental health organizations.;0.244;0.64;0.117;-0.8537
I can’t stop watching this video. You can feel his emotions, they are genuine.;0.145;0.855;0.0;-0.296
although i love Olivia, it doesn’t justify that she was in the wrong, yes as an artist she is allowed to express her feelings but letting her friends/family add on to the drama was so wrong and her saying that she thinks is funny is also wrong, she could of spoken up but instead she waited until it died out to finally speak about it because the drama was benefiting her career, even after all she put Josh through, he was still supportive of her music and would always post about it to his instagram saying positive things, this is not 100% Olivias fault, we all need to learn how to be nice to one another regardless of what happened, bullying and death threats are NEVER ok to anyone!;0.197;0.67;0.133;-0.9328
GET THAT SHIT OFF YOUR CHEST JOSH! I'm here for this and I'm in love with your music. You're doing the damn thing!;0.239;0.629;0.132;-0.5294
Love this song! Only bullies and ppl who are miserable try to bring others down/send death threats like wtf. You are so incredibly talented don't ever forget that;0.303;0.433;0.265;-0.4127
Don’t get me wrong, Olivia’s songs were bops. But THIS! This hits me, this is some real feelings. No exaggeration. Hits too deep ️‍;0.189;0.811;0.0;-0.63
"It must be hard to listen your ex on the radio day after day after day saying over and over how much you hurt them and personal details of your relationship revealed to the world. 

Nobody deserves that kind of public humiliation. She made a full album dissing him pretty much, except for the first song and “Jealousy”. ";0.129;0.822;0.049;-0.6486
This guy deserves the world. No one should deserve what Olivia put him through.;0.145;0.855;0.0;-0.296
When I listen to this song, I feel compassion for him. You all are still young. This crisis is normal. None is perfect and no one has fault. The only one is focusing on music in straight line for future. I see you have a great talent in music. You will be the one in time.;0.176;0.661;0.163;-0.2437
His haters are gonna be so mad and i'm living for it;0.423;0.577;0.0;-0.8083
